Method,Option Type,S,K,T,r,sigma,Price,Computation Time
Black-Scholes,call,100,100,1.0,0.05,0.2,10.450583572185565,0.0010008811950683594
Monte Carlo,call,100,100,1.0,0.05,0.2,10.800283692956361,10.01396369934082
Binomial Tree,call,100,100,1.0,0.05,0.2,10.430611662249113,0.001998424530029297
Black-Scholes,put,100,100,1.0,0.05,0.2,5.573526022256971,0.0
Monte Carlo,put,100,100,1.0,0.05,0.2,6.248346745014652,12.810933113098145
Binomial Tree,put,100,100,1.0,0.05,0.2,86.46647167633864,0.0019981861114501953
Black-Scholes,call,100,110,0.5,0.03,0.25,3.8985511831850594,0.0
Monte Carlo,call,100,110,0.5,0.03,0.25,3.9191697391345666,11.902981281280518
Binomial Tree,call,100,110,0.5,0.03,0.25,3.9080675564828278,0.001999378204345703
Black-Scholes,put,100,90,2.0,0.04,0.3,8.336827762612828,0.0
Monte Carlo,put,100,90,2.0,0.04,0.3,9.10542193989992,11.72730565071106
Binomial Tree,put,100,90,2.0,0.04,0.3,88.56304039095608,0.002002716064453125
Black-Scholes,call,50,50,1.0,0.02,0.4,8.352208599823403,0.0
Monte Carlo,call,50,50,1.0,0.02,0.4,8.280289157802867,11.726471662521362
Binomial Tree,call,50,50,1.0,0.02,0.4,8.33259393274389,0.0019996166229248047
Black-Scholes,put,150,140,0.25,0.01,0.15,0.9874011223948997,0.0
Monte Carlo,put,150,140,0.25,0.01,0.15,1.013207258043563,11.797390699386597
Binomial Tree,put,150,140,0.25,0.01,0.15,69.1450170888471,0.0009999275207519531
